"curso","matriz","semestre","codigo","nome","creditos","tipo","subgrupo","preRequisitos","turmas"
"G056","2023/01","5","GEL107","Literatura Brasileira I","4","obrigatoria","","","[{""id"": ""57A"", ""horarios"": [{""dia"": 2, ""inicio"": 19, ""fim"": 21}, {""dia"": 5, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""56A"", ""horarios"": [{""dia"": 2, ""inicio"": 19, ""fim"": 21}, {""dia"": 5, ""inicio"": 19, ""fim"": 21}], ""anp"": false}]"
"G056","2023/01","6","GEL108","Literatura Brasileira II","4","obrigatoria","","","[{""id"": ""57A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}, {""dia"": 4, ""inicio"": 21, ""fim"": 23}], ""anp"": false}, {""id"": ""56A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}, {""dia"": 4, ""inicio"": 21, ""fim"": 23}], ""anp"": false}]"
"G056","2023/01","7","GEL109","Literatura Brasileira III","4","obrigatoria","","","[{""id"": ""25A"", ""horarios"": [{""dia"": 3, ""inicio"": 19, ""fim"": 23}], ""anp"": false}]"
"G056","2023/01","Indefinido","GEL113","Literatura e Outras Linguagens","2","eletiva","","","[]"
"G056","2023/01","Indefinido","GEL114","Literatura Infanto-Juvenil","2","eletiva","","","[]"
"G056","2023/01","Indefinido","GEL116","Literatura Universal","2","eletiva","","","[{""id"": ""25A"", ""horarios"": [{""dia"": 4, ""inicio"": 17, ""fim"": 19}], ""anp"": false}]"
"G056","2023/01","Indefinido","GEL117","Literatura Comparada e Educação Estética","2","eletiva","","","[]"
"G056","2023/01","7","GEL122","Introdução à Análise do Discurso","4","obrigatoria","","","[]"
"G056","2023/01","Indefinido","GEL123","Introdução às Formas Poéticas","2","eletiva","","","[]"
"G056","2023/01","2","GEL127","Introdução aos Estudos Linguísticos","4","obrigatoria","","","[{""id"": ""55A"", ""horarios"": [{""dia"": 4, ""inicio"": 19, ""fim"": 21}, {""dia"": 5, ""inicio"": 19, ""fim"": 21}], ""anp"": false}]"
